case,date,incident_number,incident_type,incident_call_type,cas_event_number,status,address,city,state,zip,county,lat,lng,narrative,units_destroyed,units_major,units_minor,units_affected,num_people_injured,num_people_hospitalized,num_people_deceased,num_adults,num_children,num_families,assistance_given,incident_verified,dispatch_relayed,responders_identified,dat_on_scene,dat_departed_scene
2260,12/12/2015,16-1174,fire,hot,IL1215-FIR-67,closed,1919 20th St,Zion,IL,60099,Lake,42.458643,-87.838581,"Alerted to a working structure fire via social media.

FD confirmed home not livable. DAT met with clients at a friend's home and provided DCA - see clients tab.",0,1,0,0,0,0,0,1,5,1,1030,12/12/2015 18:32,12/12/2015 18:35,12/12/2015 18:52,12/12/2015 20:46,12/12/2015 21:45
2261,12/13/2015,16-1178,fire,hot,NA,closed,6089 N Nassau Ave,Chicago,IL,60631,Cook,41.9917926,-87.7900204,"Notified via social media: Fire on second floor of 1 1/2 story house. Fire started in second story dormer bath as plumber was sweating pipes. Insulation caught fire and traveled to roof. Roof vented. Home not livable per FD. Client has insurance and was given Red Cross info. 
",0,1,0,0,0,0,0,1,0,1,NA,12/13/2015 16:09,12/13/2015 16:50,12/13/2015 17:00,NA,12/13/2015 18:03
2262,12/13/2015,16-1179,fire,hot,IL1215-FIR-68,closed,8443 S Mackinaw Ave,Chicago,IL,60617,Cook,41.741734,-87.542644,"Notified via social media of working fire at 8343 S. Mackinaw.
Corrected address 8443 S. Mackinaw.

2 story sfh with attic.  Fire started in attic and may be electrical in origin.  Ceiling between floors exposed.  Extensive water damage on lower floors.  Client lives with 2 adult children.  Will be staying with family tonight and for foreseeable future.  HS referral.  No insurance.  Was in process of purchasing home from relative.",0,0,1,0,0,0,0,3,0,1,375,12/13/2015 23:33,12/13/2015 23:34,12/13/2015 23:52,12/14/2015 1:20,12/14/2015 1:53
2263,12/14/2015,16-1182,fire,hot,IL1215-FIR-74,closed,11921 S Perry Ave,Chicago,IL,60628,Cook,41.677339,-87.6247269,Fire in 2 story building. Fire started on the porch and spreading to the attic. Building vacant no assistance needed. BOTH MENTAL HEALTH AND HEALTH SERVICES NEEDED CALLED PLACED TO BOTH ON 12/14 7:11PM,0,2,0,0,0,0,0,1,0,1,405,12/14/2015 10:51,12/14/2015 22:15,12/14/2015 22:30,12/14/2015 23:12,12/15/2015 1:12
2264,12/14/2015,16-1184,fire,hot,IL1215-FIR-75,closed,12549 S Elizabeth St,Calumet Park,IL,60827,Cook,41.665044,-87.6520929,"Source: IPN- Calumet Park, IL (Cook County)| Still Alarm Fire| 12549 S Elizabeth St| Companies reporting heavy fire showing from dwelling on arrival. Full still ordered.| 23:42

DAT Responded to a SFH fire and provided DCA - see clients tab.",0,1,0,0,0,0,0,2,0,1,530,12/15/2015 5:53,12/15/2015 6:27,12/15/2015 7:07,NA,12/15/2015 9:04
2265,12/15/2015,16-1185,building_collapse,hot,IL1215-BDC-1,closed,2116 Kilburn Ave,Rockford,IL,61101,Winnebago,42.2942763,-89.1055397,"Call from Rockford PD. requesting Red Cross services for 2 elder adults displaced from Truck accident to house. House non-livable. 

DAT met with family and provided DCA - see clients tab.",0,1,0,0,0,0,0,2,0,0,420,12/15/2015 9:09,12/15/2015 9:14,12/15/2015 9:23,12/15/2015 10:05,12/15/2015 11:24
2266,12/15/2015,16-1187,fire,hot,IL1215-FIR-76,closed,156 S Chicago Ave,Kankakee,IL,60901,Kankakee,41.1187985,-87.8582096,"Call from Kankakee FD - Stacy requesting Red Cross services for displaced family from fire. Capt. Bruno is on scene. 815-671-6368

DAT responded to a SFH fire and provided DCA to family - see clients tab.",0,5,0,0,0,0,0,5,1,1,1090,12/15/2015 12:50,12/15/2015 12:50,12/15/2015 13:08,12/15/2015 13:44,12/15/2015 14:20
2267,12/15/2015,16-1188,fire,hot,IL1215-FIR-79,closed,5319 W Adams St,Chicago,IL,60644,Cook,41.87817,-87.758463,"Chicago, IL (Cook County)| Still Alarm Fire| 5319 W Adams St| The 18th Battalion o/s w/a fire in a 2 story ordinary| 08:36

DAT met with clients on scene and DCA was provided to 1st and 2nd floor clients. Basement client was not provided DCA and is planning to come in to Rauner today. See clients tab. 

Basement client came in to Rauner and was provided assistance - see clients tab.",0,0,3,0,0,0,0,5,2,3,705,12/15/2015 14:42,12/15/2015 14:46,12/15/2015 15:04,12/15/2015 16:06,12/15/2015 17:30
2268,12/15/2015,16-1193,fire,hot,IL1215-FIR-80,closed,2251 W St Paul Ave,Chicago,IL,60647,Cook,41.913264,-87.684422,"Alerted to fire by OEMC.

DAT Responded to a Condo fire and provided DCA - see clients tab.",0,1,0,0,0,0,0,2,0,2,250,12/15/2015 17:17,12/15/2015 17:17,12/15/2015 17:28,12/15/2015 18:56,12/15/2015 19:16
2269,12/15/2015,16-1195,fire,hot,IL 1215-FIR-90,closed,5158 S Maplewood Ave,Chicago,IL,60632,Cook,41.799399,-87.688201,"Alerted to a fire at this address by IPN.

The family declined all assistance. State Farm agent confirmed on site that assistance would be immediate for client. Client wanted a case created in CAS in the event that their insurance won't completely cover them. 

No assistance provided. Client has until 12/22/15 to decide if they would like assistance. Would qualify for unlivable.",0,0,0,1,0,0,0,2,5,1,NA,12/15/2015 18:40,12/15/2015 18:43,12/15/2015 18:54,NA,12/15/2015 21:01
2270,12/15/2015,16-1196,fire,hot,IL1215-FIR-88,closed,10609 S La Salle St,Chicago,IL,60628,Cook,41.7012969,-87.626576,Call from Star at Catholic Charities that a fire at this address displaced 2 adults.  Single-family house fire started in the attic from faulty electrical work damage assessment major roof vented it windows out utilities off,0,1,0,0,0,0,0,2,0,1,530,12/16/2015 2:32,12/16/2015 2:34,12/16/2015 2:54,12/16/2015 3:27,12/16/2015 4:10
2271,12/17/2015,16-1201,fire,hot,IL1215-FIR-95,closed,11492 County Rd 1950 E,Princeton,IL,61356,Bureau,41.422506,-89.4806718,"Alerted to an incident by Red Cross staff.

DAT responded to SFH fire and provided DCA to family. See clients tab.",0,1,0,0,0,0,0,3,2,1,965,12/17/2015 15:30,12/17/2015 15:32,12/17/2015 15:40,12/17/2015 16:01,12/17/2015 17:25
2272,12/17/2015,16-1202,fire,hot,NA,closed,1310 6th St,Sandwich,IL,60548,DeKalb,41.6509595,-88.6044844,"Alerted to an industrial fire via social media.

DAT is canteening scene.",1,0,0,0,0,0,0,0,0,0,NA,12/17/2015 16:50,12/17/2015 16:57,12/17/2015 17:18,12/17/2015 18:42,12/17/2015 19:50
2273,12/17/2015,16-1203,fire,hot,NA,closed,1443 N Campbell Ave,Chicago,IL,60622,Cook,41.907938,-87.689271,"Alerted to a working fire via social media.

Fire in a 2-flat w/ two first floor units (1R and 1F). DAT met with all 1st Floor residents (3 adults in 1R) who declined services - see clients tab. Second floor residents were not home and DAT left a door hanger. DAT states the 2nd floor unit is livable.",0,0,2,0,0,0,0,4,0,4,NA,12/17/2015 23:06,12/17/2015 23:11,12/17/2015 23:19,12/18/2015 0:08,12/18/2015 0:38
2274,12/18/2015,16-1206,fire,hot,IL1215-FIR-104,closed,760 2nd Ave,Morris,IL,60450,Grundy,41.366904,-88.414856,"Notified of working house fire by Social Media. Sheriff's Department requesting services for 2 adults and 3 children.

DAT met with clients and provided DCA - see clients tab.",0,1,0,0,0,0,0,2,3,0,625,12/18/2015 15:10,12/18/2015 15:31,12/18/2015 16:05,12/18/2015 17:38,12/18/2015 18:47
2275,12/18/2015,16-1207,building_collapse,hot,IL1215-BDC-2,closed,17201 Springtide Ln,Hazel Crest,IL,60429,Cook,41.576149,-87.704457,"Call from Officer McGee of Hazel Crest PD, a car drove into the clients' home causing severe structural damage, they are unable to stay in the home.  

DAT responded to Building Collapse and provided DCA to family see clients tab.",0,1,0,0,0,0,0,2,4,1,1260,12/18/2015 20:13,12/18/2015 20:28,12/18/2015 21:00,NA,12/18/2015 22:01
2276,12/18/2015,16-1209,fire,cold,NA,closed,1815 W State St,Rockford,IL,61102,Winnebago,42.276505,-89.117992,Alerted to a fire by Red Cross Volunteer.,1,0,0,0,0,0,0,1,0,1,NA,12/18/2015 21:45,12/18/2015 21:46,12/18/2015 22:47,12/18/2015 22:05,12/18/2015 23:10
2277,12/18/2015,16-1210,fire,hot,IL1215-FIR-107,closed,2951 S Federal St,Chicago,IL,60616,Cook,41.8404997,-87.6286877,"Notified via Twitter: Working fire at 2951 S Federal. 7 story, CHA building.

DAT met with family and provided DCA - see clients tab.",0,0,1,0,0,0,0,1,1,1,670,12/18/2015 22:55,12/18/2015 23:05,12/18/2015 23:36,12/19/2015 0:07,12/19/2015 0:55
2278,12/18/2015,16-1211,fire,hot,IL1215-FIR-108,closed,21710 Richton Rd,Matteson,IL,60443,Cook,41.495063,-87.711882,"Notified via IPN of fire in a residential structure at 21710 Richton Rd, Matteson, IL. Family of Four lived in the second floor unit. Other unit was not occupied. Fire Department determined building was not livable and will be boarded up. ARC provided housing and immediate assistance (not livable) for family of four.",2,0,0,0,0,0,0,4,0,1,920,12/19/2015 0:07,12/19/2015 0:00,12/19/2015 0:45,12/19/2015 1:30,12/19/2015 3:11
2279,12/19/2015,16-1213,fire,hot,IL1215-FIR-110,closed,131 E 103rd Pl,Chicago,IL,60628,Cook,41.706081,-87.619074,"Notified via IPN 131 E. 103rd pl due to the working fire. 1 1/2 story frame 25x50 fire in the basement. 

Fatality occured.  Assistance was provided to two families.",0,3,0,0,0,1,1,3,0,3,1340,12/19/2015 13:27,12/19/2015 13:27,12/19/2015 13:50,12/19/2015 15:15,12/19/2015 17:10
2280,12/19/2015,16-1214,fire,hot,IL1215-FIR-111,closed,630 S Keeler Ave,Chicago,IL,60624,Cook,41.872461,-87.730627,"Alerted to a working fire via social media. 

DAT met with clients impacted by 2 unit apartment fire. DCA provided to both units. See clients tab.",2,0,0,0,0,0,0,1,0,1,935,12/19/2015 16:42,12/19/2015 17:10,12/19/2015 17:30,12/19/2015 17:48,12/19/2015 19:19
2281,12/19/2015,16-1215,fire,hot,IL1215-FIR-112,closed,7426 N Ashland Ave,Chicago,IL,60626,Cook,42.016865,-87.6703333,"Alerted to a working fire via social media. 

Fire in a 4 unit apartment building. DAT met with 2 units on scene and provided DCA - see clients tab. 

The other 2 units were able to schedule meetings and meet with responders at office. See clients tab. 

All units in the incident assisted.",1,1,2,0,0,0,0,3,0,3,910,12/19/2015 17:13,12/19/2015 17:14,12/19/2015 17:26,12/19/2015 18:09,12/19/2015 19:41
2282,12/19/2015,16-1216,fire,hot,NA,closed,7560 West Forest Preserve Drive,Chicago,IL,60634,Cook,41.9495375,-87.8162716,"Chicago | WRKF | 7560 w Forest Preserve Drive | Smoke coming out of attic.

This was a bedroom fire. Husband and wife (Anthony and Maria) are not injured. They are insured and were waiting for the insurance company to call them back. Have a son who lives out in Mt Prospect and has a ready room for them. Needed no further assistance at this time.",0,1,0,0,0,0,0,2,0,1,NA,12/19/2015 21:26,12/19/2015 22:16,12/19/2015 22:20,12/19/2015 23:11,12/19/2015 23:25
2283,12/20/2015,16-1219,fire,hot,IL1215-FIR-120,closed,6336 S Marshfield Ave,Chicago,IL,60636,Cook,41.778317,-87.66577,"Received call from Youngbloom concerning a fire that displaced two adult females and one child.  

DAT met with family impacted by SFH fire and provided DCA - see clients tab.",0,1,0,0,0,0,0,2,2,1,780,12/20/2015 7:44,12/20/2015 7:44,12/20/2015 7:56,12/20/2015 8:42,12/21/2015 10:15
2284,12/20/2015,16-1220,fire,hot,IL1215-FIR-121,closed,4922 W Fulton St,Chicago,IL,60644,Cook,41.8860219,-87.748916,"Major fire water and smoke damage in 3 story brick SFH. Provided assistance to family of 9. 

Notified via social media Still & Box Alarm Fire at 4922 W. Fulton 

http://chicago.suntimes.com/news/7/71/1195052/3-hurt-south-austin-apartment-fire",0,1,0,0,0,4,0,7,2,1,1125,12/20/2015 16:09,12/20/2015 16:09,12/20/2015 16:18,12/20/2015 17:05,12/20/2015 19:05
2285,12/20/2015,16-1221,fire,cold,IL1215-FIR-122,closed,6215 S Honore St,Chicago,IL,60636,Cook,41.7807982,-87.6700417,"14, 6A, 8C. Belinda Jessup, 872-202-9825. 6345 s Winchester ave, Chicago.

Started on 12/19 1pm 2sty brick, fire started on 2nd floor, ceiling vented, space is livable.

2 units but is a 1 family home, 2 family serviced.
2nd floor no services needed.",0,0,0,1,0,0,0,2,8,2,500,12/20/2015 18:27,12/20/2015 18:29,12/20/2015 18:57,NA,12/20/2015 20:45
2286,12/20/2015,16-1223,fire,hot,IL1215-FIR-126,closed,3659 W 80th St,Chicago,IL,60652,Cook,41.7475923,-87.7143506,"Fire started in upper bedroom of single family home, fire water and smoke damage.  Provided assistance to family of 4.

Notified via social media Working Fire 3600 w 80th st. Fire showing from dormer.",0,0,1,0,0,0,0,2,2,1,780,12/20/2015 22:09,12/20/2015 22:34,12/20/2015 23:01,NA,12/21/2015 1:12
2287,12/20/2015,16-1224,fire,hot,NA,closed,7702 S Champlain Ave,Chicago,IL,60619,Cook,41.754671,-87.609306,"2 story wood frame, not livable.  Met with clients at hospital.

Notified via social media Working Fire 77th and Champlain. Fire showing.",0,1,0,0,0,1,0,1,0,1,NA,12/20/2015 22:09,12/20/2015 22:15,12/20/2015 22:30,NA,12/21/2015 0:29
2288,12/21/2015,16-1225,fire,hot,NA,closed,456 W Barry Ave,Chicago,IL,60657,Cook,41.938017,-87.64172,Social media reports fire in the ceiling. Responders arrived on scene. Connected with clients. Clients have insurance providing assistance and place to stay. No immediate assistance is needed.,1,0,0,0,0,0,0,2,0,1,NA,12/21/2015 21:54,12/21/2015 22:29,12/21/2015 22:57,12/21/2015 23:14,12/21/2015 23:51
2289,12/22/2015,16-1232,fire,hot,NA,closed,4510 W Harrison St,Chicago,IL,60624,Cook,41.873532,-87.738199,"Alerted to fire at this address by social media.

Fire contained outside. Damage limited to porch. Interior assessment not possible. Occupied by squatters, will remain in residence as heat and electricity are still on and working. No assistance required.",0,0,0,0,0,0,0,0,0,0,NA,12/22/2015 21:06,12/22/2015 21:28,12/22/2015 21:34,NA,12/23/2015 0:03
2290,12/23/2015,16-1237,fire,hot,IL1215-FIR-138,closed,69 E Conestoga Ave,Cortland,IL,60112,DeKalb,41.9235485,-88.686233,Sycamore FD Diana called to report a fire this morning at this address. Family needs assistance.,0,1,0,0,0,0,0,2,0,1,250,12/23/2015 16:01,12/23/2015 16:05,12/23/2015 17:11,12/23/2015 18:36,12/23/2015 19:17
2291,12/24/2015,16-1240,fire,hot,Il1215-FIR-140,closed,12560 S Page St #16,Calumet Park,IL,60827,Cook,41.6648846,-87.6649539,"Calumet Park FD called requesting ARC Services for 2 adults displaced by a kitchen fire.

DAT provide services to one adult.",0,0,1,0,0,0,0,1,0,1,405,12/24/2015 14:45,12/24/2015 14:45,12/24/2015 14:52,12/24/2015 15:38,12/24/2015 16:55
2292,12/25/2015,16-1241,fire,hot,IL1215-FIR-145,closed,30 Cedar Ave,Lake Villa,IL,60046,Lake,42.4158959,-88.08245,"Three story apartment complex fire. Lake Villa PD called requesting assistance.

Fire started on 3rd floor of 3-story 12-unit apartment building. 5 families on scene, assisted those families.  Appears one apartment is vacant.

Left door hangers for other families--all would qualify for not livable. 

Building Owners: BILL [847-922-1984] and FRED NIELSEN [847-343-8164]

",0,4,8,0,0,0,0,17,8,9,4805,12/25/2015 20:50,12/25/2015 20:57,12/25/2015 21:08,12/25/2015 22:40,12/26/2015 0:35
2293,12/25/2015,16-1242,fire,hot,NA,closed,1103 N Marshfield Ave,Chicago,IL,60622,Cook,41.902436,-87.668311,Vacant building at 1104 N Marshfield. No services needed.,0,0,0,0,0,0,0,0,0,0,NA,12/25/2015 22:07,12/25/2015 22:08,12/25/2015 22:10,12/25/2015 23:01,12/25/2015 23:18
2294,12/25/2015,16-1243,fire,hot,NA,closed,1614 Marshfield Dr,Rockford,IL,61107,Winnebago,42.286838,-88.983141,3 adults displaced at single family home; services requested by Rockford FD. Clients left scene before responders got there. No help rendered.,0,0,0,0,0,0,0,0,0,0,NA,12/26/2015 0:04,12/26/2015 0:09,12/26/2015 0:55,NA,12/26/2015 2:32
2295,12/26/2015,16-1246,fire,hot,IL1215-FIR-148,closed,156 N Washington Ave,Kankakee,IL,60901,Kankakee,41.121419,-87.8670099,"Single family home destroyed.  Provided assistance to family of 5.  

Originally, Two volunteers responded to this incident to find that all occupants had been transported to local hospitals. No assistance has been provided, however, DHS will be asked to follow-up and determine what services can be offered.


Notified via social media
Structure Fire
156 N Washington
",1,0,0,0,0,1,0,3,2,1,625,12/26/2015 14:51,12/26/2015 14:51,12/26/2015 15:02,12/26/2015 15:40,12/26/2015 16:45
2296,12/26/2015,16-1250,fire,hot,IL1215-FIR-154,closed,1554 W 127th St,Calumet Park,IL,60827,Cook,41.6629467,-87.659977,"Calumet Park dispatch requesting assistance for 2 adults in residential fire.

Second story apartment fire in mixed-use building; commercial first floor, two apartments immediately above on second floor (one occupied, one vacant), plus two additional apartments at rear.

Fire contained to forward-facing occupied apartment only, originating in kitchen/living area. Extensive fire damage, as well as smoke and water damage, in this central area. Holes punched in ceilings. Front facade windows (bedroom and living room) destroyed. Clothing and bedding not affected.

Residents departed scene before arrival of responders. Attempted to locate via landlord and neighbors; unsuccessful. Left ARC door hanger and message for landlord.

Landlord: JOSE AGUILAR [708-342-2087]

",0,1,0,0,0,0,0,0,0,0,530,12/27/2015 2:11,12/27/2015 2:12,12/27/2015 2:22,12/27/2015 3:10,12/27/2015 4:01
2297,12/26/2015,16-1251,fire,hot,IL1215-FIR-149,closed,1923 Grove Ave #3,Berwyn,IL,60402,Cook,41.8530951,-87.7944671,"Apartment in-wall electrical fire (extinguished). Residence deemed unlivable by FD.

Berwyn, IL Police & Fire Dispatch requesting assistance for displaced mother & child.

Client transported to Berwyn Police Station Responders met and provided assistance to 1 family.",0,0,1,0,0,0,0,1,1,1,530,12/27/2015 5:40,12/27/2015 5:53,12/27/2015 6:05,12/27/2015 6:47,12/27/2015 7:35
2298,12/27/2015,16-1255,fire,hot,IL1215-FIR-150,closed,27 N Dryden Pl,Arlington Heights,IL,60004,Cook,42.0826324,-87.970234,"
IPN <IPN@ipn911.net>
6:04 AM (8 minutes ago)

to me 
Arlington Heights, IL (Cook County)| Working Fire| 25 Dryden Ct| Batt 2 o/s with a residential structure fire| 06:03

*****3C has been affected, but they will be able to access the unit later today.*****",1,1,2,0,0,0,0,8,3,4,1435,12/27/2015 12:16,12/27/2015 12:49,12/27/2015 13:27,NA,12/27/2015 15:59
2299,12/27/2015,16-1256,fire,hot,IL1215-FIR-155,closed,525 S Stewart Ave,Freeport,IL,61032,Stephenson,42.2926877,-89.6481735,Freeport PD reported fire. 2A affected. Fire started 30 minutes ago.,0,1,0,0,0,0,0,2,1,1,545,12/27/2015 16:16,12/27/2015 16:16,12/27/2015 16:32,12/27/2015 16:39,12/27/2015 18:01
2300,12/27/2015,16-1258,fire,hot,NA,closed,5443 W Cortez St,Chicago,IL,60651,Cook,41.899168,-87.762528,"Major damage to SFH, one client hospitalized. Assisted homeowner with insurance contact.

Notified via social media Working Fire 5443 W. Cortez
",0,1,0,0,0,1,0,2,0,2,NA,12/27/2015 20:45,12/27/2015 20:46,12/27/2015 21:21,NA,12/27/2015 22:35
2301,12/27/2015,16-1259,fire,hot,NA,closed,1836 N Luna Ave,Chicago,IL,60639,Cook,41.914155,-87.76474,"Notified of a working fire on the 2nd floor of a 2 story ordinary. 

CT OEMC to verify, no further info on whether or not unit is occupied.

3 story brick apt, fire occurred on 3rd floor. Client will be staying with his and daughter. Responders arrived to meet client, fire started from incense in a room. Windows out in that room, client has a place to stay, and no financial assistance provided.

Vergil Cook 773-430-5035 Client has state farm insurance.",0,0,0,1,0,0,0,1,0,1,NA,12/28/2015 2:50,12/28/2015 3:40,12/28/2015 3:47,NA,12/28/2015 5:20
2302,12/28/2015,16-1260,fire,hot,IL1215-FIR-159,closed,1600 Riverdale Rd,Rock Falls,IL,61071,Whiteside,41.7642583,-89.7328171,"Red Cross Responders weathered an ice storm to assist a family of five (3 adults, 2 children) after their mobile home was destroyed by fire. Assistance (Non-livable) and Housing were provided along with stock items.

Initial request:
Call from Rock Falls FD/Joy (815-626-6649) requesting assistance for 2 adults, 2 children. Residence is a mobile home - Lot 55.",1,0,0,0,0,0,0,3,2,1,965,12/28/2015 11:24,12/28/2015 11:26,12/28/2015 11:32,12/28/2015 12:05,12/28/2015 12:40
2303,12/28/2015,16-1261,fire,cold,IL1215-FIR-165,closed,3647 E 2631st St,Sheridan,IL,60551,LaSalle,41.4636966,-88.6665512,"DAT met with clients in December. Updating case notes, which is what generated the text message. You can disregard. 

DCA provided - see clients tab for more details.",1,0,0,0,0,0,0,2,1,1,657,2/11/2016 1:44,12/28/2015 22:05,12/28/2015 22:10,12/29/2015 16:24,12/29/2015 17:00
2304,12/28/2015,16-1266,storm,hot,IL1215-FIR-161,closed,3814 W Ohio St,Chicago,IL,60624,Cook,41.892003,-87.721822,"Initial notification:
OEMC Michelle called and asked for help for 9 adults and 4 children due to a fire. 

It was later deemed that water damage to the electrical panel forced the Fire Department to shut off power to the building. Responders provided Immediate Assistance to 12 individuals while the Landlord attempted to make repairs.",0,0,0,3,0,0,0,6,6,3,600,12/28/2015 23:25,12/28/2015 23:25,12/29/2015 0:00,12/29/2015 0:42,12/29/2015 2:33
2305,12/28/2015,16-1267,fire,hot,NA,closed,4941 S Michigan Ave,Chicago,IL,60615,Cook,41.8043844,-87.6223641,"OEMC Michelle called stating 30 people are displaced by a fire
Julianne reported that the problem was water in electric box.  ComEd on scene making repairs.  Rest of building is OK.  No assistance needed.",0,0,0,0,0,0,0,0,0,0,NA,12/28/2015 23:54,12/28/2015 23:57,12/28/2015 23:59,12/29/2015 0:43,12/29/2015 0:43
2306,12/28/2015,16-1268,fire,hot,IL1215-FIR-160,closed,524 N Monticello Ave,Chicago,IL,60624,Cook,41.890755,-87.717733,"Client called in says kitchen fire and landlord tells her she has to leave for at least 3 days.

DAT met with client and provided DCA - see clients tab.",0,0,1,0,0,0,0,1,5,1,580,12/29/2015 0:37,12/29/2015 0:50,12/29/2015 0:51,12/29/2015 1:16,12/29/2015 1:42
2307,12/28/2015,16-1269,fire,hot,NA,closed,5319 S Prairie Ave,Chicago,IL,60615,Cook,41.797796,-87.618786,"Report from Catholic Charities of an electrical fire displacing 3 adults and 9 children at
5319 S Prairie Avenue.

OEMC confirmed FD responded and requested Human Services.

Responders dispatched could find no clients present at scene and no evidence of fire. 
Contacted Catholic Charities to notify them.

No assistance provided.

",0,0,0,0,0,0,0,0,0,0,NA,12/29/2015 1:12,12/29/2015 1:14,12/29/2015 1:41,12/29/2015 2:08,12/29/2015 2:20
2308,12/28/2015,16-1270,storm,hot,NA,closed,4331 S Ellis Ave,Chicago,IL,60653,Cook,41.815722,-87.601444,"Electrical fire (light fixtures). OEMC verified.

Responders",0,0,0,0,0,0,0,0,0,0,NA,12/29/2015 2:12,12/29/2015 2:18,12/29/2015 2:19,12/29/2015 2:30,12/29/2015 2:45
2309,12/28/2015,16-1271,fire,hot,IL1215-FIR-166,closed,476 W 25th Pl,Chicago,IL,60616,Cook,41.8459969,-87.6395299,"Initial notification:

Tri-State Fire Alert ‏@Fire_Alerts911
476 W 25th Place, Engine 8 has a working fire in a 3 story ordinary constructed building.
8:44 PM - 28 Dec 2015 · Details

Per Julianne Lyons:
""The clients had a place to stay and initially declined services. Damage was minor. It was a kitchen fire. The stove was covered in soot and the walls of the kitchen had some smoke damage. No working smoke detectors.

The landlord who we forgot to get their info stated they would figure out what their insurance covered and get back to us if assistance  was needed.""",0,0,1,0,0,0,0,1,3,0,NA,12/29/2015 3:01,12/29/2015 3:15,12/29/2015 3:20,12/29/2015 3:47,12/29/2015 4:30
2310,12/28/2015,16-1272,storm,hot,NA,closed,201 N Richmond St,Sublette,IL,61367,Lee,41.6452193,-89.2323826,"At 10:00 PM this evening, Lee County EMA opened a Warming Center at the Sublette Fire Department at 201 N. Richmond. 

Shortly after 11:00 PM, Red Cross was notified that two elderly County residents had arrived at the Warming Center and were asked to provide cots, blankets and other materials as well as staffing.

ARC provided assistance and meals and departed scene.

Shelter will remain open through night if there is need. Residents are directed to contact Lee Co. Sheriff or PD for information.",0,0,0,0,0,0,0,1,0,0,NA,12/29/2015 5:12,12/29/2015 5:15,12/29/2015 5:45,12/29/2015 7:10,12/29/2015 18:57
2311,12/29/2015,16-1278,hazmat,hot,IL1215-HAZ-1,closed,3245 W Washington Blvd,Chicago,IL,60624,Cook,41.8824759,-87.707928,"Hazmat Incident --
Gasoline leak originating at Falcon Fuels service station [3345 W Washington Blvd]. 

Gas incursion into sewer line of residential buildings located at 
3231-3249 W Washington Blvd.

Deemed unlivable by Chicago FD.

******UPDATE 12/30*******

Six homes were forced to evacuate due to this situation and will not be able to return to their homes for 7-12 days. Those evacuated addresses are: 3223, 3229, 3233, 3235, 3245, 3255 W Washington. 

At this time, the city's Family Support Services Dept is handling this incident. Should anyone call requesting assistance direct them to 311. 

This is an evolving situation, should something come up that you want guidance on, contact Admin.

",0,0,0,1,0,0,0,3,1,1,780,12/30/2015 1:45,12/30/2015 1:46,12/30/2015 1:50,12/30/2015 1:50,12/30/2015 2:05
2312,12/29/2015,16-1281,fire,cold,NA,closed,3948 W Dakin St,Chicago,IL,60618,Cook,41.9528625,-87.7270882,"Chicago FD reported Working Fire at 3948 W Dakin on the Northside/Irving Park area.

OEMC verified Rear Porch Fire at apartment complex. Residents reported smoke-filled building to Chicago FD. Fire extinguished quickly, Chicago FD left scene.

No residents available to speak with on scene. All utilities appear on and working. Left information for residents to call Dispatch.",0,0,0,0,0,0,0,0,0,0,NA,12/30/2015 4:32,12/30/2015 4:42,12/30/2015 4:43,12/30/2015 5:21,12/30/2015 5:34
2313,12/30/2015,16-1284,fire,hot,NA,closed,9350 S Luella Ave,Chicago,IL,60617,Cook,41.724668,-87.569658,Structure fire. Ryan at OEMC advises building is one-story ranch. Fire started in basement and moved to the first floor. Building is occupied.,0,1,0,0,0,0,0,1,0,1,NA,12/30/2015 20:01,12/30/2015 20:02,12/30/2015 20:11,NA,12/30/2015 21:50
2314,12/30/2015,16-1286,fire,cold,NA,closed,17 W 114th Pl,Chicago,IL,60628,Cook,41.686024,-87.6236288,"Chicago | WRKF | 17 W 114th Pl | Truck 27 ons w/ a Fire. 123,317",0,0,0,1,0,0,0,0,0,0,NA,12/30/2015 23:51,12/30/2015 23:55,12/31/2015 0:45,12/31/2015 2:07,12/31/2015 2:08
2315,12/30/2015,16-1287,fire,hot,NA,closed,5354 S Aberdeen St,Chicago,IL,60609,Cook,41.796275,-87.652852,"Twitter list 5354 S Aberdeen as a working fire.

DAT responded to a fire in a 2-flat building. The building is not livable. Clients not on scene, door hangers left.",0,0,0,0,0,0,0,0,0,0,NA,12/31/2015 0:08,12/31/2015 0:10,12/31/2015 0:29,12/31/2015 1:49,12/31/2015 1:49
2316,12/30/2015,16-1290,fire,hot,IL1215-FIR-172,closed,4950 134th Ct,Crestwood,IL,60445,Cook,41.648043,-87.7429143,"Alerted to a working structure fire via social media. 

DAT responded to a fire in a retirement condo facility. DAT was able to meet with 6 families and DCA was provided - see clients tab. All clients have been assisted except for 3 clients who were transported to area hospitals, Metro South and Stroger. Those clients would qualify for assistance once released from hospital, however DAT has no verification of livability.",0,6,0,0,5,5,0,7,0,6,2555,12/31/2015 3:41,12/31/2015 4:21,12/31/2015 4:45,12/31/2015 5:55,12/31/2015 8:33
